month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2026/03/01 05:00:00+00,Saturday,4,Heavy Rail,1025336,256334,313
2026/03/01 05:00:00+00,Saturday,4,Green Line,490906,122726,314
2026/03/01 05:00:00+00,Saturday,4,Mattapan Line,6683,1671,315
2026/03/01 05:00:00+00,Saturday,4,Light Rail,497589,124397,316
2026/03/01 05:00:00+00,Saturday,4,Silver Line,89519,22380,317
2026/03/01 05:00:00+00,Saturday,4,Bus,668987,167247,318
2026/03/01 05:00:00+00,Saturday,4,All Bus,758506,189626,319
2026/03/01 05:00:00+00,Saturday,4,Commuter Rail,161638,40410,320
2026/03/01 05:00:00+00,Saturday,4,Ferry,1845,461,321
2026/03/01 05:00:00+00,Saturday,4,The RIDE,8126,2032,322
2026/03/01 05:00:00+00,Sunday,5,Blue Line,140232,28046,323
2026/03/01 05:00:00+00,Sunday,5,Orange Line,339060,67812,324
2026/03/01 05:00:00+00,Sunday,5,Red Line,420747,84149,325
2026/03/01 05:00:00+00,Sunday,5,Heavy Rail,900039,180008,326
2026/03/01 05:00:00+00,Sunday,5,Green Line,417156,83431,327
2026/03/01 05:00:00+00,Sunday,5,Mattapan Line,6313,1263,328
2026/03/01 05:00:00+00,Sunday,5,Light Rail,423468,84694,329
2026/03/01 05:00:00+00,Sunday,5,Silver Line,89624,17925,330
2026/03/01 05:00:00+00,Sunday,5,Bus,571309,114262,331
2026/03/01 05:00:00+00,Sunday,5,All Bus,660933,132187,332
2026/03/01 05:00:00+00,Sunday,5,Commuter Rail,195775,39155,333
2026/03/01 05:00:00+00,Sunday,5,Ferry,1512,302,334
2026/03/01 05:00:00+00,Sunday,5,The RIDE,8860,1772,335
2026/03/01 05:00:00+00,Total,31,Blue Line,1403023,45259,336
2026/03/01 05:00:00+00,Total,31,Orange Line,3792398,122335,337
2026/03/01 05:00:00+00,Total,31,Red Line,4335144,139843,338
2026/03/01 05:00:00+00,Total,31,Heavy Rail,9530565,307438,339
2026/03/01 05:00:00+00,Total,31,Green Line,3739699,120635,340
2026/03/01 05:00:00+00,Total,31,Mattapan Line,79926,2578,341
2026/03/01 05:00:00+00,Total,31,Light Rail,3819625,123214,342
2026/03/01 05:00:00+00,Total,31,Silver Line,876150,28263,343
2026/03/01 05:00:00+00,Total,31,Bus,7423866,239480,344
2026/03/01 05:00:00+00,Total,31,All Bus,8300016,267742,345
2026/03/01 05:00:00+00,Total,31,Commuter Rail,2807942,90579,346
